"N°","Date debut","Date fin","Emplacement","Campagne","Commune","Zone","Format","Regie","Latitude","Longitude"
"1329","24-09-2024","23-10-2024","Grand carrefour Dar el salam F1 face katiola","Pass pour moi","Bouaké","Interieur","12 M²","QUARTZ","7.724281","-5.028126"
"1330","24-09-2024","23-10-2024","Dar es Salam 4 (ancien cimetière) Simple face Face Grd Cfr dar es Salam et Belle ville ","Pass pour moi","Bouaké","Interieur","12 M²","QUARTZ","7.725023","-5.015954"
"1331","24-09-2024","23-10-2024","Belleville clinique medicale F1 face pharmacie Belleville ( corridor Est route de M'bahiakro face kenedy)","Pass pour moi","Bouaké","Interieur","12 M²","QUARTZ","7.713573","-5.001519"
"1332","24-09-2024","23-10-2024","Gare de m'bahiakro EX clôture chambre des métiers face St Camille f1 face pont djibo","Pass pour moi","Bouaké","Interieur","12 M²","QUARTZ","7.690585","-5.020935"
"1333","24-09-2024","23-10-2024","Cooopec F2 face air France","Pass pour moi","Bouaké","Interieur","12 M²","QUARTZ","7.680019","-5.025104"
"1334","24-09-2024","23-10-2024","Hotel LA grâce  F1 face commerce","Pass pour moi","Bouaké","Interieur","12 M²","QUARTZ","7.667707","-5.02779"
"1335","24-09-2024","23-10-2024","Agence OCI  F2 face stade","Pass pour moi","Bouaké","Interieur","12 M²","QUARTZ","7.683518","-5.031348"
"1336","24-09-2024","23-10-2024","Rond point cnps face aeroport","Pass pour moi","Bouaké","Interieur","12 M²","QUARTZ","7.70958","-5.038703"
"1337","24-09-2024","23-10-2024","clôture ancien stade face sitarail","Pass pour moi","Bouaké","Interieur","12 M²","QUARTZ","7.683783","-5.040745"
"1338","24-09-2024","23-10-2024","Carrefour feux madone simple face Carrefour","Pass pour moi","Bouaké","Interieur","12 M²","QUARTZ","7.680293","-5.037538"
"1339","24-09-2024","23-10-2024","Feux kennedy  F2 face air France","Pass pour moi","Bouaké","Interieur","12 M²","QUARTZ","7.68897","-5.010449"
"1340","24-09-2024","23-10-2024","Blockhauss : clôture complexe sanitaire face cocody","Pass pour moi","Cocody","Grand Abidjan","12 M²","EMERGENCE","5.32466","-4.001623"
"1341","24-09-2024","23-10-2024","Bld de france collège moderne de cocody maison du parti pdci -face 1","Pass pour moi","Cocody","Grand Abidjan","12 M²","MEDIAWAYS","5.33467","-3.993874"
"1342","24-09-2024","23-10-2024","Axe du Golf hotel avant hotel du Golf face Residence présidentielle** Face B","Pass pour moi","Cocody","Grand Abidjan","12 M²","EMERGENCE","5.331782","-3.963132"
"1343","24-09-2024","23-10-2024","Carrefour Sodefor mimosa face de droite","Pass pour moi","Cocody","Grand Abidjan","12 M²","QUARTZ","5.349048","-4.000134"
"1344","24-09-2024","23-10-2024","Axe CIAD - EDEN avant le virage face pharmacie EDEN","Pass pour moi","Cocody","Grand Abidjan","12 M²","EMERGENCE","5.328303","-3.942827"
"1345","24-09-2024","23-10-2024","Akouedo extension carrefour en T aller les cités ATCI et lauriers 8,9,10 - face Faya","Pass pour moi","Cocody","Grand Abidjan","12 M²","EMERGENCE","5.363554","-3.936886"
"1346","24-09-2024","23-10-2024","COCO-110AS: COCODY Vallons en face de PAUL sens CARREFOUR CHU","Pass pour moi","Cocody","Grand Abidjan","12 M²","SELFIE MEDIA","5.361626","-3.989789"
"1347","24-09-2024","23-10-2024","COCO-112AS: COCODY en venant du CHU d’Angré direction ABATTA BASE CIE","Pass pour moi","Cocody","Grand Abidjan","12 M²","SELFIE MEDIA","5.398774","-3.949769"
"1348","24-09-2024","23-10-2024","COCO-21AS: COCODY riviera route lycee français face rond point mel theodore","Pass pour moi","Cocody","Grand Abidjan","12 M²","SELFIE MEDIA","5.34894","-3.950462"
"1349","24-09-2024","23-10-2024","COCO-99AS: Cocody 7eme tranche retour pont soro sens rue Arafat","Pass pour moi","Cocody","Grand Abidjan","12 M²","SELFIE MEDIA","5.390977","-3.985356"
"1350","24-09-2024","23-10-2024","Panneau Pyramide aux alentours de Orange village sens Orange CI ==> Hotel du golf","Pass pour moi","Cocody","Grand Abidjan","12 M²","PYRAMIDE MEDIA","5.3315997","-3.9699939"
"1351","24-09-2024","23-10-2024","Panneau Le caméléon aux alentours de Orange village sens Orange CI ==> Hotel du golf COCODY ROUTE DU GOLF FACE ORANGE","Pass pour moi","Cocody","Grand Abidjan","12 M²","Cameleon ","5.331713","-3.970319"
"1352","24-09-2024","23-10-2024","Panneau Odysée aux alentours de Orange village sens Hotel du golf ==> Orange CI","Pass pour moi","Cocody","Grand Abidjan","12 M²","ODYSEE","5.331828","-3.9689"
"1353","24-09-2024","23-10-2024","Latrille Carrefour Duncan face PASSPORT BIOMETRIQUE direction Sococé","Pass pour moi","Cocody","Grand Abidjan","12 M²","MELI’S COM","5.3767298","-3.9983863"
"1354","24-09-2024","23-10-2024","Marché de Mpouto au niveau du grand terrain de foot","Pass pour moi","Cocody","Grand Abidjan","12 M²","EMERGENCE","5.327937","-3.954264"
"1355","24-09-2024","23-10-2024","Axe rond-point ancien camp d'akouedo sens aller boulevard Mitterrand face ancien Camp ","Pass pour moi","Cocody","Grand Abidjan","12 M²","EMERGENCE","5.3609917","-3.9500338"
"1356","24-09-2024","23-10-2024","Face au nouveau pont reliant la 7e et la 8e tranche","Pass pour moi","Cocody","Grand Abidjan","12 M²","MELI’S COM","5.3907043","-3.9845189"
"1357","24-09-2024","23-10-2024","Feh késsé sens aller cité promogim","Pass pour moi","Cocody","Grand Abidjan","12 M²","EMERGENCE","5.3859917","-3.9128056"
"1358","24-09-2024","23-10-2024","Carrefour abatta sens aller cité sir carrefour abatta","Pass pour moi","Cocody","Grand Abidjan","12 M²","EMERGENCE","5.3738067","-3.9294417"
"1359","24-09-2024","23-10-2024","Route d Attoban cipharm face Riviera (face église)","Pass pour moi","Cocody","Grand Abidjan","12 M²","PUBLISTAR","5.3705498","-3.9814692"
"1360","24-09-2024","23-10-2024","Cité SIR Ephrata sens retour cité sir dans le virage face château d'eau ","Pass pour moi","Cocody","Grand Abidjan","12 M²","EMERGENCE","5.384296","-3.932438"
"1361","24-09-2024","23-10-2024","Rond point collège st viateur sens aller nouveau chu face collège st viateur","Pass pour moi","Cocody","Grand Abidjan","12 M²","EMERGENCE","5.384593","-3.955826"
"1362","24-09-2024","23-10-2024","Gare de taxi 7e tranche face stade d'angré","Pass pour moi","Cocody","Grand Abidjan","12 M²","PUBLISTAR","5.402574","-3.985504"
"1363","24-09-2024","23-10-2024","Axe Michelle Yackice - hotêl belle côte face à Michelle Yakice","Pass pour moi","Cocody","Grand Abidjan","12 M²","EMERGENCE","5.3884073","-3.9693374"
"1364","24-09-2024","23-10-2024","Axe terminus 81, 82 - Carrefour Pétroivoire au niveau du magazin uno","Pass pour moi","Cocody","Grand Abidjan","12 M²","EMERGENCE","5.404332","-3.989476"
"1365","24-09-2024","23-10-2024","Chateau face angré extension","Pass pour moi","Cocody","Grand Abidjan","12 M²","EMERGENCE","5.411721","-3.9823208"
"1366","24-09-2024","23-10-2024","Rue des Jardins carrefour PAKO","Pass pour moi","Cocody","Grand Abidjan","12 M²","PUBLISTAR","5.361817","-3.989578"
"1367","24-09-2024","23-10-2024"," Carrefour hôtel ivoire","Pass pour moi","Cocody","Grand Abidjan","12 M²","PUBLISTAR","5.3283983","-4.0048217"
"1368","24-09-2024","23-10-2024"," Carrefour St JEAN côté centre commercial","Pass pour moi","Cocody","Grand Abidjan","12 M²","PUBLISTAR","5.336199","-4.003757"
"1369","24-09-2024","23-10-2024","  Axe carrefour de la Vie-carrefour de l'indenié avant pont du lycée technique face carref de la Vie ** ","Pass pour moi","Cocody","Grand Abidjan","12 M²","EMERGENCE","5.3481788","-4.007591"
"1370","24-09-2024","23-10-2024","Carrefour ZOO","Pass pour moi","Cocody","Grand Abidjan","12 M²","PUBLISTAR","5.378633","-4.006777"
"1371","24-09-2024","23-10-2024","Galerie Santa Maria dos BHCI sens aller les perles côté droit. F1","Pass pour moi","Cocody","Grand Abidjan","12 M²","MELI’S COM","5.383291","-3.993235"
"1372","24-09-2024","23-10-2024","RIVIERA 2 Sens université - mosquée AN Nour ","Pass pour moi","Cocody","Grand Abidjan","12 M²","MELI’S COM","5.35027","-3.981802"
"1373","24-09-2024","23-10-2024"," FACE CAP NORD AU ROND POINT DE LA PHARMACIE STE FAMILLE","Pass pour moi","Cocody","Grand Abidjan","12 M²","MELI’S COM","5.355373","-3.967076"
"1374","24-09-2024","23-10-2024","Riviera 3 Phcie St Pierre les Rosées direction CFR Blaise Pascal","Pass pour moi","Cocody","Grand Abidjan","12 M²","MELI’S COM","5.353696","-3.956686"
"1375","24-09-2024","23-10-2024","Rond point central mairie","Pass pour moi","Dabakala","Interieur","12 M²","EMERGENCE","8.362338","-4.427204"
"1376","24-09-2024","23-10-2024","Entrée ville par kong cité ADO","Pass pour moi","Dabakala","Interieur","12 M²","EMERGENCE","8.36326","-4.427622"
"1377","24-09-2024","23-10-2024","Carrefour marché face hopital général","Pass pour moi","Dabakala","Interieur","12 M²","EMERGENCE","8.367162","-4.432723"
"1378","24-09-2024","23-10-2024","Entrée ville par katiola collège anacardier face 2","Pass pour moi","Dabakala","Interieur","12 M²","EMERGENCE","8.371583","-4.4445889"
"1379","24-09-2024","23-10-2024","Sortie par san pedro F2","Pass pour moi","Dabou","Grand Abidjan","12 M²","QUARTZ","5.325633","-4.385215"
"1380","24-09-2024","23-10-2024","CRF n'gatty face Abidjan","Pass pour moi","Dabou","Grand Abidjan","12 M²","QUARTZ","5.322881","-4.360455"
"1381","24-09-2024","23-10-2024","CRF n'gatty face centre ville","Pass pour moi","Dabou","Grand Abidjan","12 M²","QUARTZ","5.322881","-4.360455"
"1382","24-09-2024","23-10-2024"," Sortie par vavoua face vavoua","Pass pour moi","Daloa","Interieur","12 M²","QUARTZ","6.911742","-6.454094"
"1383","24-09-2024","23-10-2024","lycée antoine GAUZE (face Issia)","Pass pour moi","Daloa","Interieur","12 M²","QUARTZ","6.87403","-6.444264"
"1384","24-09-2024","23-10-2024","Sortie par issia face issia ","Pass pour moi","Daloa","Interieur","12 M²","QUARTZ","6.850062","-6.446384"
"1385","24-09-2024","23-10-2024","Entrée ville par Abidjan","Pass pour moi","Daloa","Interieur","12 M²","QUARTZ","6.89474","-6.426042"
"1386","24-09-2024","23-10-2024","Carrefour station total face quartier soleil ","Pass pour moi","Daloa","Interieur","12 M²","QUARTZ","6.884806","-6.458766"
"1387","24-09-2024","23-10-2024","Quartier Orly marché F1","Pass pour moi","Daloa","Interieur","12 M²","GOS (GLOBAL OUTDOOR SYSTEMS)","6.871746","-6.454552"
"1388","24-09-2024","23-10-2024","Quartier Orly marché F2","Pass pour moi","Daloa","Interieur","12 M²","GOS (GLOBAL OUTDOOR SYSTEMS)","6.8717712","-6.4545521"
"1389","24-09-2024","23-10-2024","Sortie ville, pour Bongouanou face au centre ville","Pass pour moi","Daoukro","Interieur","12 M²","EMERGENCE","7.035686355641","-3.967504472683"
"1390","24-09-2024","23-10-2024","Marché de Daoukro","Pass pour moi","Daoukro","Interieur","12 M²","EMERGENCE","7.061963","-3.960135"
"1391","24-09-2024","23-10-2024","Après gare routière sur la côte face au marché","Pass pour moi","Daoukro","Interieur","12 M²","EMERGENCE","7.063358","-3.960069"
"1392","24-09-2024","23-10-2024","Centre ville sorbone face quartier bada","Pass pour moi","Divo","Interieur","12 M²","QUARTZ","5.84034","-5.354388"
"1393","24-09-2024","23-10-2024","La poste F1 face cour d'appel","Pass pour moi","Divo","Interieur","12 M²","QUARTZ","5.836561","-5.365206"
"1394","24-09-2024","23-10-2024","Route de Man au niveau de gare AVS et la mosquée face Man","Pass pour moi","Duékoué","Interieur","12 M²","EMERGENCE","6.755079","-7.367789"
"1395","24-09-2024","23-10-2024","Rue princesse au niveau de la place publique face agence orange","Pass pour moi","Duékoué","Interieur","12 M²","EMERGENCE","6.743191","-7.344298"
"1396","24-09-2024","23-10-2024","Entrée ville par daloa au niveau du rond point Guemon près du commissarait face daloa","Pass pour moi","Duékoué","Interieur","12 M²","EMERGENCE","6.747516","-7.335486"
"1397","24-09-2024","23-10-2024","Sens retour kong entrée du marché central","Pass pour moi","FERKESSEDOUGOU","Interieur","12 M²","EMERGENCE","10.108879384542","-5.4723402322331"
"1398","24-09-2024","23-10-2024","Entrée ville par ouangolo ancien corridor face centre ville","Pass pour moi","FERKESSEDOUGOU","Interieur","12 M²","EMERGENCE","9.5962845664211","-5.2322762342775"
"1399","24-09-2024","23-10-2024","Sortie ville pour bouaké collège Charles Louanga","Pass pour moi","FERKESSEDOUGOU","Interieur","12 M²","EMERGENCE","9.5729140220688","-5.2091479438219"
"1400","24-09-2024","23-10-2024","Sortie par Soubré (face soubré)","Pass pour moi","Gagnoa","Interieur","12 M²","QUARTZ","6.1118821","-5.9956519"
"1401","24-09-2024","23-10-2024","sortie par soubré face centre ville","Pass pour moi","Gagnoa","Interieur","12 M²","QUARTZ","6.1118821","-5.9956519"
"1402","24-09-2024","23-10-2024","Sortie par Sinfra (face Sinfra)","Pass pour moi","Gagnoa","Interieur","12 M²","QUARTZ","6.1569818","-5.9427873"
"1403","24-09-2024","23-10-2024","Bvd Allassane Ouattara pharmacie du marché et SGBCI face Pont de la Victoire","Pass pour moi","Grand Bassam","Grand Abidjan","12 M²","PUBLISTAR","5.205568","-3.735438"
"1404","24-09-2024","23-10-2024","sodeci rue des maquis","Pass pour moi","Grand Bassam","Grand Abidjan","12 M²","PUBLISTAR","5.213334","-3.737087"
"1405","24-09-2024","23-10-2024"," Centre ville Mairie face au rond point","Pass pour moi","Grand Lahou","Interieur","12 M²","EMERGENCE","5.135649","-5.028321"
"1406","24-09-2024","23-10-2024","Marché face carrefour","Pass pour moi","Grand Lahou","Interieur","12 M²","EMERGENCE","5.2496","-5.003302"
"1407","24-09-2024","23-10-2024"," Entrée ville après la gare face sortie ville (face B)","Pass pour moi","Grand Lahou","Interieur","12 M²","EMERGENCE","5.134285","-5.03814"
"1408","24-09-2024","23-10-2024"," Entrée ville après la gare face centre ville (Face A)","Pass pour moi","Grand Lahou","Interieur","12 M²","EMERGENCE","5.134285","-5.03814"
"1409","24-09-2024","23-10-2024","Sortie ville pour Daloa, 200 mètres Hôpital Général (Face A)","Pass pour moi","Issia","Interieur","12 M²","MEDIAWAYS","6.49938","-6.58384"
"1410","24-09-2024","23-10-2024","Sortie pour Abidjan gare du Burkina ( Face B )","Pass pour moi","Issia","Interieur","12 M²","MEDIAWAYS","6.48359","-6.58683"
"1411","24-09-2024","23-10-2024","Sortie ville pour Daloa, 200 mètres Hôpital Général ( Face B)","Pass pour moi","Issia","Interieur","12 M²","MEDIAWAYS","6.49938","-6.58384"
"1412","24-09-2024","23-10-2024","COCAN F2 face centre ville","Pass pour moi","Korhogo","Interieur","12 M²","QUARTZ","9.415752","-5.599857"
"1413","24-09-2024","23-10-2024","restaurant Savana F1 face Hôtel eulis","Pass pour moi","Korhogo","Interieur","12 M²","QUARTZ","9.45927","-5.637583"
"1414","24-09-2024","23-10-2024","Mont korhogo (route de kapele) F1 face hôtel éléphant","Pass pour moi","Korhogo","Interieur","12 M²","QUARTZ","9.456642","-5.65079"
"1415","24-09-2024","23-10-2024","Entrée/boundiali F1 face Boundiali","Pass pour moi","Korhogo","Interieur","12 M²","QUARTZ","9.475514","-5.662999"
"1416","24-09-2024","23-10-2024","Centre social krg F1 face grande mosquee","Pass pour moi","Korhogo","Interieur","12 M²","QUARTZ","9.453486","-5.633171"
"1417","24-09-2024","23-10-2024","Face ETAT MAJOR FN face bomlambo","Pass pour moi","Korhogo","Interieur","12 M²","QUARTZ","9.45084","-5.63276"
"1418","24-09-2024","23-10-2024","carrefour école soba face hotel chicata","Pass pour moi","Korhogo","Interieur","12 M²","QUARTZ","9.455965","-5.624885"
"1419","24-09-2024","23-10-2024"," Kassirime (fin goudron) F1 face Kassirime","Pass pour moi","Korhogo","Interieur","12 M²","QUARTZ","9.450209","-5.609332"
"1420","24-09-2024","23-10-2024","Quartier Divo Avant carrefour Phcie Marrais face Remblais Don Bosco","Pass pour moi","Koumassi","Grand Abidjan","12 M²","PUBLISTAR","5.302202","-3.957774"
"1421","24-09-2024","23-10-2024","PLACE INCHALLAH AVANT FEU PRODOMO COTE GAUCHE","Pass pour moi","Koumassi","Grand Abidjan","12 M²","PUBLISTAR","5.299035","-3.95429"
"1422","24-09-2024","23-10-2024","CITE ABRI 2000 EX ORANGE","Pass pour moi","Koumassi","Grand Abidjan","12 M²","PUBLISTAR","5.30646","-3.946115"
"1423","24-09-2024","23-10-2024","Carr. Marché DJE KONAN de Koumassi","Pass pour moi","Koumassi","Grand Abidjan","12 M²","PUBLISTAR","5.288388","-3.969218"
"1424","24-09-2024","23-10-2024","route de BIANKOUMA","Pass pour moi","Man","Interieur","12 M²","QUARTZ","7.4293882","-7.5694272"
"1425","24-09-2024","23-10-2024","carrefour ZELE face man","Pass pour moi","Man","Interieur","12 M²","QUARTZ","7.3615418","-7.5865445"
"1426","24-09-2024","23-10-2024","Carrefour Préfecture (face centre ville)","Pass pour moi","Man","Interieur","12 M²","QUARTZ","7.40529","-7.5539"
"1427","24-09-2024","23-10-2024","restarant les délices F1 face carrefour sari","Pass pour moi","Man","Interieur","12 M²","QUARTZ","7.405292","-7.56025"
"1428","24-09-2024","23-10-2024"," VGE face grd crf koumassi","Pass pour moi","Marcory","Grand Abidjan","12 M²","QUARTZ","5.294007","-3.978009"
"1429","24-09-2024","23-10-2024","residentiel face residentiel","Pass pour moi","Marcory","Grand Abidjan","12 M²","QUARTZ","5.306857","-3.995635"
"1430","24-09-2024","23-10-2024","RUE DU CANAL carrefour pharmacie Pérusia face TCHE CAFE","Pass pour moi","Marcory","Grand Abidjan","12 M²","PUBLISTAR","5.280421","-3.976675"
"1431","24-09-2024","23-10-2024","Blvd de Marseille face restaurant St Germain","Pass pour moi","Marcory","Grand Abidjan","12 M²","PUBLISTAR","5.2749375","-3.9690081"
"1432","24-09-2024","23-10-2024","Nouveau marche de Marcory, face à Marcory","Pass pour moi","Marcory","Grand Abidjan","12 M²","EMERGENCE","5.300252","-3.975128"
"1433","24-09-2024","23-10-2024","Biétry zone 4 C, Bd de Marseille, face Laguna Palace face glacier de Bietry","Pass pour moi","Marcory","Grand Abidjan","12 M²","EMERGENCE","5.2822117","-3.9838783"
"1434","24-09-2024","23-10-2024","Boulevard Alassane Ouattara , rond point principal ( Face B)","Pass pour moi","Odienne","Interieur","12 M²","MEDIAWAYS","9.5067","-7.55525"
"1435","24-09-2024","23-10-2024","Boulevard Alassane Ouattara , rond point principal ( Face A)","Pass pour moi","Odienne","Interieur","12 M²","MEDIAWAYS","9.5067","-7.55525"
"1436","24-09-2024","23-10-2024","Centre ville , Groupe Scolaire Odienné , rive opposée à l’ église catholique , 100 mètres du CHR ( Face A)","Pass pour moi","Odienne","Interieur","12 M²","MEDIAWAYS","9.50032","-7.56087"
"1437","24-09-2024","23-10-2024","Entrée venant d Abidjan carrefour lycée moderne ( Face B)","Pass pour moi","Odienne","Interieur","12 M²","MEDIAWAYS","9.48744","-7.56293"
"1438","24-09-2024","23-10-2024","Bd lagunaire zone stade sens Cocody Plateau (côté station) face Stade FHB","Pass pour moi","Plateau","Grand Abidjan","12 M²","PUBLISTAR","5.327104","-4.016912"
"1439","24-09-2024","23-10-2024","Longchamp 2- face Cerle de la RAN -","Pass pour moi","Plateau","Grand Abidjan","12 M²","PUBLISTAR","5.325307","-4.0229"
"1440","24-09-2024","23-10-2024","Chambre de Commerce","Pass pour moi","Plateau","Grand Abidjan","12 M²","PUBLISTAR","5.319143","-4.018541"
"1441","24-09-2024","23-10-2024","SOTRA Lagunaire - face Rue de commerce","Pass pour moi","Plateau","Grand Abidjan","12 M²","PUBLISTAR","5.314907","-4.018053"
"1442","24-09-2024","23-10-2024","Pont Pieton F1","Pass pour moi","Port-Bouet","Grand Abidjan","12 M²","QUARTZ","5.247254","-3.945466"
"1443","24-09-2024","23-10-2024","Ancienne route Bassam apres rond point Anani restaurant délices d'Hélène face ront point","Pass pour moi","Port-Bouet","Grand Abidjan","12 M²","PUBLISTAR","5.235273","-3.871823"
"1444","24-09-2024","23-10-2024","Ancienne route Bassam apres rond point Anani restaurant délices d'Hélène face Bassam (PC)","Pass pour moi","Port-Bouet","Grand Abidjan","12 M²","PUBLISTAR","5.235512","-3.872825"
"1445","24-09-2024","23-10-2024","Route vridi- carrefour Cimétière Municipal Port-Bouet- face Abbatoir (PC)","Pass pour moi","Port-Bouet","Grand Abidjan","12 M²","PUBLISTAR","5.257251","-3.973036"
"1446","24-09-2024","23-10-2024","ADJOUFFOU 2ème ARRÊT SENS RETOUR FACE GONZAGUE ","Pass pour moi","Port-Bouet","Grand Abidjan","12 M²","PUBLISTAR","5.243939","-3.924731"
"1447","24-09-2024","23-10-2024","NOUVELLE VOIE PONT PETIT BASSAM SENS RETOUR VRIDI","Pass pour moi","Port-Bouet","Grand Abidjan","12 M²","MELI’S COM","5.25658","-3.976255"
"1448","24-09-2024","23-10-2024","Hôpital de port bouet face Abattoir","Pass pour moi","Port-Bouet","Grand Abidjan","12 M²","PUBLISTAR","5.262287","-3.963425"
"1449","24-09-2024","23-10-2024","Marché Port-bouet face pharmacie Djigui","Pass pour moi","Port-Bouet","Grand Abidjan","12 M²","PUBLISTAR","5.2577248","-3.9646482"
"1450","24-09-2024","23-10-2024","Cloture église catholique sens Marché","Pass pour moi","Samo","Grand Abidjan","12 M²","MANDINGO","5.282745","-3.521054"
"1451","24-09-2024","23-10-2024","Entrée samo par assinie sens commissariat de samo","Pass pour moi","Samo","Grand Abidjan","12 M²","MANDINGO","5.283144","-3.515758"
"1452","24-09-2024","23-10-2024",": Carrefour CP1 (face lycée municipal)","Pass pour moi","San-Pédro","Interieur","12 M²","QUARTZ","4.773563","-6.668983"
"1453","24-09-2024","23-10-2024"," carrefour CP1 (face marché)","Pass pour moi","San-Pédro","Interieur","12 M²","QUARTZ","4.773544","-6.668773"
"1454","24-09-2024","23-10-2024"," route du marché face gare routière","Pass pour moi","San-Pédro","Interieur","12 M²","QUARTZ","4.7787445","-6.6544285"
"1455","24-09-2024","23-10-2024"," entrée par Soubré (face centre ville)","Pass pour moi","San-Pédro","Interieur","12 M²","QUARTZ","4.8134","-6.6433"
"1456","24-09-2024","23-10-2024"," Carrefour Iroko : F1 face Seweke 1","Pass pour moi","San-Pédro","Interieur","12 M²","QUARTZ","4.766211","-6.644606"
"1457","24-09-2024","23-10-2024"," Pharmacie Nitoro : F1 face port","Pass pour moi","San-Pédro","Interieur","12 M²","QUARTZ","4.743505","-6.631324"
"1458","24-09-2024","23-10-2024","Centre Antituberculeux : F1 face Hopital General Image 6 of 19","Pass pour moi","San-Pédro","Interieur","12 M²","QUARTZ","4.745841","-6.63882"
"1459","24-09-2024","23-10-2024","Carrefour Jules Ferry : F1 face carrefour ","Pass pour moi","San-Pédro","Interieur","12 M²","QUARTZ","4.750146","-6.653943"
"1460","24-09-2024","23-10-2024","Place de l'indépendance face centre ville","Pass pour moi","Soubré","Interieur","12 M²","QUARTZ","5.788678","-6.597649"
"1461","24-09-2024","23-10-2024","Place de l'indépendance face corridor","Pass pour moi","Soubré","Interieur","12 M²","QUARTZ","5.78897","-6.597446"
"1462","24-09-2024","23-10-2024","Sortie par san Pedro face centre ville","Pass pour moi","Soubré","Interieur","12 M²","QUARTZ","5.786467","-6.615703"
"1463","24-09-2024","23-10-2024","Station shell face solibra","Pass pour moi","Treichville","Grand Abidjan","12 M²","QUARTZ","5.298374","-4.001747"
"1464","24-09-2024","23-10-2024","Carrefour Nanan Yamousso Shell ( côté SEMI FOFANA)","Pass pour moi","Treichville","Grand Abidjan","12 M²","PUBLISTAR","5.30928","-4.005969"
"1465","24-09-2024","23-10-2024","VGE FACE IVOSEP CÔTÉ GARE DE BASSAM SENS ALLER PALAIS DES SPORTS ","Pass pour moi","Treichville","Grand Abidjan","12 M²","MELI’S COM","5.2991483","-4.0003017"
"1466","24-09-2024","23-10-2024","Descente pont De Gaulle côté gauche face Marcory dos Trivision","Pass pour moi","Treichville","Grand Abidjan","12 M²","PUBLISTAR","5.310199","-4.003989"
"1467","24-09-2024","23-10-2024"," CACOMIAF FACE RUE 12","Pass pour moi","Treichville","Grand Abidjan","12 M²","PUBLISTAR","5.301217","-4.010648"
"1468","24-09-2024","23-10-2024","Carrefour CHR face gare routière","Pass pour moi","Yamoussoukro ","Interieur","12 M²","QUARTZ","6.817538","-5.276108"
"1469","24-09-2024","23-10-2024","Carrefour phamacie des lacs face CHR","Pass pour moi","Yamoussoukro ","Interieur","12 M²","QUARTZ","6.8158641","-5.2739294"
"1470","24-09-2024","23-10-2024","carrefour phamacie des lacs face gare routière","Pass pour moi","Yamoussoukro ","Interieur","12 M²","QUARTZ","6.816027","-5.274099"
"1471","24-09-2024","23-10-2024","Dioulabougou Pharmacie miliwangah F1 face fondation","Pass pour moi","Yamoussoukro ","Interieur","12 M²","QUARTZ","6.800828","-5.27297"
"1472","24-09-2024","23-10-2024","Carrefour INPHB face INPHB F1","Pass pour moi","Yamoussoukro ","Interieur","12 M²","QUARTZ","6.865739","-5.245042"
"1473","24-09-2024","23-10-2024","Mofaitai F1 face SIB","Pass pour moi","Yamoussoukro ","Interieur","12 M²","QUARTZ","6.810053","-5.263994"
"1474","24-09-2024","23-10-2024","Gare d'Attiegbakro F1 face carrefour ANADER","Pass pour moi","Yamoussoukro ","Interieur","12 M²","QUARTZ","6.813475","-5.267786"
"1475","24-09-2024","23-10-2024","Marché de Sopim Terminus de bus face pharmacie F1","Pass pour moi","Yamoussoukro ","Interieur","12 M²","QUARTZ","6.787874","-5.279859"
"1476","24-09-2024","23-10-2024","Niangon carrefour station Petro Ivoire ","Pass pour moi","Yopougon","Grand Abidjan","12 M²","MANDINGO","5.335659","-4.090867"
"1477","24-09-2024","23-10-2024","Niangon avant l'église st Pierre","Pass pour moi","Yopougon","Grand Abidjan","12 M²","MANDINGO","5.326151","-4.089545"
"1478","24-09-2024","23-10-2024","APRES LE CARREFOUR SAPEUR POMPIER AU NIVEAU DU MAQUIS DIAMANT BLEU FACE TERMINUS DU BUS 85","Pass pour moi","Yopougon","Grand Abidjan","12 M²","MELI’S COM","5.326097","-4.059822"
"1479","24-09-2024","23-10-2024","AU CARREFOUR DU TERMINUS DU BUS 40 SENS RETOUR DU CINEMA SAGUIDIBA","Pass pour moi","Yopougon","Grand Abidjan","12 M²","MELI’S COM","5.3283065","-4.0765181"
"1480","24-09-2024","23-10-2024","DF Terrain figayo direction ,sens siporex","Pass pour moi","Yopougon","Grand Abidjan","12 M²","MELI’S COM","5.3496482","-4.0732039"
"1481","24-09-2024","23-10-2024","SENS ALLER ST ANDRE FACE COSMOS-min","Pass pour moi","Yopougon","Grand Abidjan","12 M²","MELI’S COM","5.349775","-4.0734974"
"1482","24-09-2024","23-10-2024","APRES LE CARREFOUR DU COMPLEXE FACE NOUVEAU BUREAU","Pass pour moi","Yopougon","Grand Abidjan","12 M²","MELI’S COM","5.336166","-4.06241"
"1483","24-09-2024","23-10-2024","PHILIPE MANGOU ANDOKOI","Pass pour moi","Yopougon","Grand Abidjan","12 M²","MELI’S COM","5.360863","-4.070912"
"1484","24-09-2024","23-10-2024","Siporex face sable","Pass pour moi","Yopougon","Grand Abidjan","12 M²","QUARTZ","5.357797","-4.074236"
"1485","24-09-2024","23-10-2024","African petrolium face mosquée koudouss","Pass pour moi","Yopougon","Grand Abidjan","12 M²","QUARTZ","5.347094","-4.085359"
"1486","24-09-2024","23-10-2024","Guicharolain face mami adjaoua","Pass pour moi","Yopougon","Grand Abidjan","12 M²","QUARTZ","5.3491517","-4.09518"
